t,range
311.018,0.42338059766965386
311.118,0.42611462535403327
311.218,0.4217923092410858
311.318,0.42575570756163206
311.518,0.4322905826830681
311.618,0.43564872281930483
311.718,0.40928924852532383
311.818,0.4074136527014428
311.918,0.4129325130684131
312.018,0.4050056255958475
312.118,0.4150943111457728
312.218,0.37664725159570367
312.318,0.3364431425585575
312.418,0.34094131712902553
312.519,0.3429860177578391
312.718,0.2801100679130287
312.818,0.25446246094084624
313.018,0.24202121899912354
313.118,0.20001841736222273
313.218,0.20282447948438223
313.318,0.14707447384857564
313.418,0.126679654567307
313.518,0.14637188869091697
313.618,0.09366870099804535
313.718,0.08897843772402414
313.818,0.08981270881536754
313.918,0.10495714496445258
314.018,0.10024386398065276
314.118,0.07372301344254872
314.218,0.07036889475295918
314.318,0.05757347149497025
314.418,0.09559133359393031
314.518,0.07229847535401475
314.618,0.06886300935852172
314.818,0.03760695499096724
314.918,0.06466013630514036
315.018,0.07319361653925974
315.118,0.053914911599906766
315.218,0.06433659495429005
315.318,0.06476559277989449
315.418,0.05612893958794872
315.518,0.07203567872610897
315.618,0.043605968034231224
315.818,0.07153714993840626
315.918,0.07302166846317043
316.118,0.05699257189982516
316.218,0.07065538489959385
316.318,0.0714838172060938
316.419,0.08281022616578194
316.618,0.08979981117525189
316.718,0.07000552148410952
316.918,0.06592281016032661
317.018,0.07009131591564875
317.118,0.0762660646957085
317.218,0.034330027846973886
317.318,0.06843909407716356
317.418,0.07531598558219704
317.618,0.08805592292327041
317.718,0.10845952282764955
317.818,0.06970543164980296
317.918,0.11006901520224269
318.018,0.10175160791969709
318.219,0.11902180058855595
318.318,0.11131791894358534
318.418,0.1283138798337247
318.518,0.1770315828124766
318.618,0.16676647839641373
318.718,0.24857487692228886
318.918,0.3109082454458589
319.018,0.3803059432407034
319.218,0.40952503868341933
319.318,0.42414066145287266
319.418,0.4355468434757197
319.618,0.42334128461591725
319.718,0.4200507338375022
319.818,0.4215809326796416
319.918,0.4202317078121274
320.018,0.4118027747922245
320.118,0.37859300860020095
320.318,0.41550363585354677
320.418,0.41060953621267293
320.519,0.3879225666354798
320.718,0.33356377038361246
320.818,0.33534450709818275
321.018,0.2978128691208678
321.118,0.25059337518036323
321.218,0.23190356183353436
321.318,0.2403350956926147
321.418,0.20862639371532923
321.518,0.17303456387423904
321.718,0.13443665167333596
321.818,0.1233155611572208
322.018,0.08616120353134014
322.118,0.1011994802388609
322.218,0.08356339087410337
322.418,0.0714866999613211
322.518,0.036949949880007465
322.718,0.03538989166135648
322.818,0.04627057350066317
322.918,0.05407140317291351
323.118,0.03990762132899011
323.218,0.05124473221525499
323.318,0.058088987741684014
323.418,0.04323255207894548
323.518,0.03680692959987982
323.618,0.031625817852346166
323.718,0.026377898582641425
323.818,0.025472828535602354
323.918,0.047126588848294015
324.118,0.05006809340692026
324.218,0.044507512917478106
324.318,0.03628574791512332
324.518,0.05273705290193402
324.618,0.03825283010172523
324.818,0.049215458305597426
324.918,0.04482481127225539
325.018,0.03678985340723901
325.118,0.026870876481529422
325.218,0.050245790832377284
325.318,0.06165649181072973
325.518,0.06519339973218864
325.618,0.05638380592958078
325.718,0.041741472141350176
325.918,0.02326978751815572
326.018,0.03414274866991211
326.218,0.0629733614533632
326.418,0.05472325302864586
326.618,0.036439537269563185
326.718,0.061386815809480674
326.818,0.02203202827215198
326.918,0.05053644477702121
327.018,0.05972702695105596
327.118,0.03727198429939994
327.218,0.05567190988430942
327.318,0.03433671995602339
327.418,0.06501223369869538
327.518,0.023093962736685052
327.718,0.04497902771375879
327.818,0.0514390168597343
328.018,0.058346151404335383
328.118,0.058171138065513134
328.218,0.028640532282673867
328.318,0.08180434801464352
328.418,0.06823288298559868
328.518,0.062309899458072956
328.718,0.07929609636742972
328.818,0.06680645627121981
328.918,0.07844517540683392
329.118,0.09793064506940294
329.218,0.1399482788542256
329.418,0.15080363264686364
329.518,0.17375374726356443
329.618,0.21883906704472794
329.718,0.3100940467137891
329.918,0.4204025799191456
330.118,0.42135745719937606
330.218,0.41235214654622454
330.318,0.4297493077605338
330.418,0.41637968087848837
330.518,0.43013026752891237
330.618,0.4160179427887274
330.718,0.4279310070633533
330.818,0.4418766956243062
330.918,0.41409122348374666
331.018,0.43248069820127794
331.218,0.4300023181299454
331.318,0.4182357130656494
331.518,0.4261431318420778
331.618,0.4286818119906921
331.718,0.43057805111911956
331.818,0.4370545876952699
331.918,0.41388843605645725
332.018,0.44998237855728224
332.118,0.42303262439401956
332.318,0.4187918880505577
332.418,0.42801204575940316
332.618,0.42167827519810025
332.718,0.44362287319754534
332.818,0.4292801529660624
333.018,0.40974891296114585
333.118,0.4351466042383415
333.219,0.4393730347238449
333.418,0.4387215174295093
333.518,0.40262531748023644
333.618,0.41445767178553006
333.718,0.43606559343641893
333.818,0.4230020868859587
333.918,0.4334371310365243
334.018,0.418524365536401
334.118,0.4389509753390496
334.218,0.4242364124585855
334.418,0.42859975997678906
334.518,0.4374957338721453
334.618,0.4232887339872003
334.718,0.43401913849743806
334.818,0.4136931423121233
334.918,0.41360716427139455
335.118,0.43041654717403305
335.218,0.4015111391180193
335.318,0.419094073548041
335.518,0.24740865322806246
335.618,0.23570265810966293
335.718,0.2734723710732312
335.818,0.28338134775571516
336.018,0.283278118231468
336.118,0.30899617914466554
336.218,0.38113184208332784
336.418,0.4292800166554521
336.518,0.4252431633549951
336.719,0.43206710605205456
336.818,0.42628650191325673
336.918,0.43670683355304457
337.118,0.4148579714453288
337.218,0.42223635157430084
337.418,0.16215324881456764
337.518,0.1928524073718145
337.619,0.17239044941287146
337.719,0.16500107387288412
337.918,0.18829697401598744
338.118,0.15067501479867035
338.218,0.1894552363876518
338.318,0.14571171879679204
338.518,0.1716788163583843
338.618,0.12277188065730797
338.718,0.11272468356789757
338.918,0.09171556823676942
339.018,0.06186205992442052
339.218,0.06047780588025471
339.318,0.08048209602037312
339.418,0.05013624938681125
339.618,0.06924520534993694
339.718,0.08636746158916053
339.918,0.08646905830525534
340.018,0.06745431325419048
340.118,0.056355180273600924
340.318,0.05006083301573892
340.418,0.06015127372770454
340.518,0.04890609488586632
340.618,0.05917179767155646
340.718,0.06663080859831853
340.818,0.05051985796532729
341.018,0.07198842322255952
341.118,0.055096781778337295
341.218,0.05288428161123447
341.418,0.09435874616168877
341.518,0.06995689030788989
341.718,0.06000048988161551
341.818,0.07669543831067402
341.919,0.06906823303832568
342.118,0.10449384773667852
342.218,0.11199729908521147
342.318,0.11047714035085622
342.418,0.14071564996277594
342.518,0.14245843559137167
342.718,0.19805592755939513
342.818,0.22122816367622766
342.918,0.2737941874019108
343.018,0.4287800273835459
343.118,0.428161293076347
343.218,0.4364193661473964
343.318,0.4240075752653084
343.418,0.4347214506382689
343.518,0.4404860417962669
343.618,0.42942453536007813
343.818,0.4149430393876799
